Time,Linear_Position,Linear_Velocity,Linear_Acceleration,Angular_Position,Angular_Velocity,Delta Gravity
53,"(300.0, -239153517474.064)","(1.97729431112333e-16, -4428768841.215306)","(0, -7.234487280636276e-09)",2391536133219.723,44287709115.18006,0.00017362769473527062
54,"(300.0, -243582286315.2793)","(1.97729431112333e-16, -4428768841.215306)","(0, -6.969024270048908e-09)",2435823842390.459,44287709170.73562,0.0001672565824811738
55,"(300.0, -248011055156.4946)","(1.97729431112333e-16, -4428768841.215306)","(0, -6.71790901540902e-09)",2480111551615.74,44287709225.281075,0.00016122981636981649
56,"(300.0, -252439823997.7099)","(1.97729431112333e-16, -4428768841.215306)","(0, -6.48012588385096e-09)",2524399260894.593,44287709278.8525,0.00015552302121242303
57,"(300.0, -256868592838.9252)","(1.97729431112333e-16, -4428768841.215306)","(0, -6.254747544443174e-09)",2568686970226.0767,44287709331.48408,0.00015011394106663616
58,"(300.0, -261297361680.1405)","(1.97729431112333e-16, -4428768841.215306)","(0, -6.040925913207589e-09)",2612974679609.2847,44287709383.20821,0.00014498222191698215
59,"(300.0, -265726130521.3558)","(1.97729431112333e-16, -4428768841.215306)","(0, -5.8378841632175324e-09)",2657262389043.3403,44287709434.05567,0.00014010921991722077
60,"(300.0, -270154899362.5711)","(1.97729431112333e-16, -4428768841.215306)","(0, -5.6449096589682785e-09)",2701550098527.396,44287709484.05567,0.00013547783181523868
61,"(300.0, -274583668203.7864)","(1.97729431112333e-16, -4428768841.215306)","(0, -5.461347694815172e-09)",2745837808060.632,44287709533.236,0.0001310723446755641
62,"(300.0, -279012437045.0017)","(1.97729431112333e-16, -4428768841.215306)","(0, -5.2865959345798106e-09)",2790125517642.255,44287709581.6231,0.00012687830242991545
63,"(300.0, -283441205886.21704)","(1.97729431112333e-16, -4428768841.215306)","(0, -5.120099464005692e-09)",2834413227271.497,44287709629.24215,0.00012288238713613662
64,"(300.0, -287869974727.4324)","(1.97729431112333e-16, -4428768841.215306)","(0, -4.961346380065634e-09)",2878700936947.6143,44287709676.11715,0.0001190723131215752
65,"(300.0, -292298743568.6477)","(1.97729431112333e-16, -4428768841.215306)","(0, -4.8098638515634766e-09)",2922988646669.8853,44287709722.270996,0.00011543673243752343
66,"(300.0, -296727512409.86304)","(1.97729431112333e-16, -4428768841.215306)","(0, -4.665214594343274e-09)",2967276356437.611,44287709767.72554,0.00011196515026423857
67,"(300.0, -301156281251.07837)","(1.97729431112333e-16, -4428768841.215306)","(0, -4.526993711975901e-09)",3011564066250.1123,44287709812.50166,0.00010864784908742163
68,"(300.0, -305585050092.2937)","(1.97729431112333e-16, -4428768841.215306)","(0, -4.394825859246839e-09)",3055851776106.7314,44287709856.61931,0.00010547582062192413
69,"(300.0, -310013818933.50903)","(1.97729431112333e-16, -4428768841.215306)","(0, -4.268362691294291e-09)",3100139486006.829,44287709900.09757,0.00010244070459106299
70,"(300.0, -314442587774.72437)","(1.97729431112333e-16, -4428768841.215306)","(0, -4.147280565988602e-09)",3144427195949.7837,44287709942.95471,9.953473358372645e-05
71,"(300.0, -318871356615.9397)","(1.97729431112333e-16, -4428768841.215306)","(0, -4.031278471222691e-09)",3188714905934.9917,44287709985.20824,9.675068330934459e-05
72,"(300.0, -323300125457.155)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.920076152299488e-09)",3233002615961.8667,44287710026.8749,9.40818276551877e-05
73,"(300.0, -327728894298.37036)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.813412417640291e-09)",3277290326029.8374,44287710067.970795,9.152189802336698e-05
74,"(300.0, -332157663139.5857)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.71104360366826e-09)",3321578036138.3486,44287710108.51134,8.906504648803825e-05
75,"(300.0, -336586431980.801)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.6127421820031083e-09)",3365865746286.86,44287710148.51134,8.67058123680746e-05
76,"(300.0, -341015200822.01636)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.518295494086819e-09)",3410153456474.8447,44287710187.98502,8.443909185808366e-05
77,"(300.0, -345443969663.2317)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.427504600087945e-09)",3454441166701.791,44287710226.94606,8.226011040211067e-05
78,"(300.0, -349872738504.447)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.340183230439749e-09)",3498728876967.1987,44287710265.4076,8.016439753055398e-05
79,"(300.0, -354301507345.66235)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.256156829685558e-09)",3543016587270.581,44287710303.382286,7.814776391245339e-05
80,"(300.0, -358730276186.8777)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.1752616834590473e-09)",3587304297611.4634,44287710340.882286,7.620628040301714e-05
81,"(300.0, -363159045028.093)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.0973441204399477e-09)",3631592007989.383,44287710377.91933,7.433625889055875e-05
82,"(300.0, -367587813869.30835)","(1.97729431112333e-16, -4428768841.215306)","(0, -3.0222597820156784e-09)",3675879718403.8877,44287710414.50469,7.253423476837628e-05
83,"(300.0, -372016582710.5237)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.949872953162829e-09)",3720167428854.537,44287710450.64927,7.07969508759079e-05
84,"(300.0, -376445351551.739)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.880055948753187e-09)",3764455139340.901,44287710486.363556,6.912134277007649e-05
85,"(300.0, -380874120392.95435)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.812688550098926e-09)",3808742849862.5586,44287710521.65768,6.750452520237422e-05
86,"(300.0, -385302889234.1697)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.7476574870910694e-09)",3853030560419.1,44287710556.5414,6.594377969018567e-05
87,"(300.0, -389731658075.385)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.684855961763107e-09)",3897318271010.124,44287710591.024155,6.443654308231457e-05
88,"(300.0, -394160426916.60034)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.624183209535514e-09)",3941605981635.2393,44287710625.11507,6.298039702885234e-05
89,"(300.0, -398589195757.8157)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.5655440947733587e-09)",3985893692294.062,44287710658.82293,6.157305827456061e-05
90,"(300.0, -403017964599.031)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.5088487376241068e-09)",4030181402986.2183,44287710692.156265,6.0212369702978564e-05
91,"(300.0, -407446733440.24634)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.454012169400983e-09)",4074469113711.342,44287710725.1233,5.889629206562359e-05
92,"(300.0, -411875502281.4617)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.4009540140433167e-09)",4118756824469.0737,44287710757.731995,5.7622896337039596e-05
93,"(300.0, -416304271122.677)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.349598193422891e-09)",4163044535259.064,44287710789.99006,5.639035664214939e-05
94,"(300.0, -420733039963.89233)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.299872654477754e-09)",4207332246080.9688,44287710821.90495,5.519694370746609e-05
95,"(300.0, -425161808805.10767)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.2517091163451753e-09)",4251619956934.4526,44287710853.4839,5.404101879228421e-05
96,"(300.0, -429590577646.323)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.2050428358359313e-09)",4295907667819.1865,44287710884.7339,5.2921028060062354e-05
97,"(300.0, -434019346487.5383)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.1598123897451034e-09)",4340195378734.848,44287710915.661736,5.1835497353882485e-05
98,"(300.0, -438448115328.75366)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.1159594726320744e-09)",4384483089681.122,44287710946.27398,5.078302734316978e-05
99,"(300.0, -442876884169.969)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.0734287088260646e-09)",4428770800657.699,44287710976.57701,4.976228901182555e-05
