Frame,Satellite X (km),Satellite Y (km),Velocity X (km/s),Velocity Y (km/s),Force X (N),Force Y (N),Total Distance (km),Total Velocity (km/s),Total Acceleration (km/s²)
14,-19096.24850105918,15429.67199850401,-3954.353056670662,-975.361762064756,1.1998346249951206,0.295813393577664,56793.06066986662,4072.866148512455,1.9831817297520347
15,-23050.497094676204,14454.335992066628,-3954.24859361702,-975.3360064373819,1.0446305364186734,0.25755627374089535,60865.92679792296,4072.7585572404614,1.5984966790409851
16,-27004.653917695374,13479.022612490979,-3954.156823019173,-975.3133795756492,0.9177059784704402,0.22626861732669526,64938.685337272786,4072.664038367068,1.3072398729478618
17,-30958.729482189745,12503.72926839305,-3954.075564494373,-975.2933440979284,0.8125852479992298,0.20035477720859227,69011.34935986047,4072.5803462636827,1.0826770102143792
18,-34912.73259213134,11528.453789390514,-3954.0031099415955,-975.2754790025358,0.7245455277747365,0.17865095392531868,73083.9296921031,4072.5057217113194,0.9067551092945999
19,-38866.67069438858,10553.194339604963,-3953.938102257242,-975.2594497855519,0.6500768435348765,0.16029216983953548,77156.4354012733,4072.4387669893354,0.766983043197461
20,-42820.55014398368,9577.949352290212,-3953.8794495950992,-975.2449873147501,0.5865266214263978,0.14462470801799418,81228.87415697884,4072.378357571039,0.6545303728603001
21,-46774.37640756895,8602.717479684125,-3953.8262635852752,-975.2318726060879,0.5318600982425319,0.13114708662188126,85301.25250434333,4072.32357849465,0.563034193944658
22,-50728.15422161876,7627.497554019534,-3953.7778140498085,-975.2199256645911,0.4844953546690969,0.1194694149681155,89373.57607356145,4072.273677724243,0.48783060062181555
23,-54681.88771691419,6652.288556841796,-3953.7334952954375,-975.2089971777385,0.44318754370988617,0.10928486852557284,93445.84974281758,4072.2280314340805,0.4254480264946817
24,-58635.58051758615,5677.089594596283,-3953.6928006719604,-975.1989622455129,0.40694623476878294,0.10034932225547431,97518.0777664907,4072.1861178057684,0.3732661866429319
25,-62589.23582071073,4701.899879008827,-3953.6553031245858,-975.1897155874566,0.3749754737493907,0.09246658056221521,101590.26387715762,4072.147496998691,0.32928212474438007
26,-66542.85646086586,3726.71871117265,-3953.6206401551312,-975.181167836177,0.3466296945483636,0.08547751279596517,105662.41136756769,4072.1117956611897,0.29194695866794285
27,-70496.44496293442,2751.5454685321843,-3953.588502068539,-975.1732426404656,0.3213808659178117,0.07925195711461921,109734.52315712914,4072.078694825344,0.26005016645957335
28,-74450.00358563128,1776.3795941532094,-3953.558622696871,-975.1658743789745,0.2987937166800796,0.07368261491106357,113806.60184629123,4072.0479203533555,0.23263638650647245
29,-78403.53435764353,801.2205878137846,-3953.5307720122396,-975.1590063394248,0.27850684631470607,0.06868039549631455,117878.6497613726,4072.0192353293946,0.20894480330813744
30,-82357.03910783821,-173.93200144261075,-3953.5047501946756,-975.1525892563955,0.26021817564043065,0.06417083029477973,121950.668991782,4071.9924339499107,0.18836444816870193
31,-86310.51949066945,-1149.078581570538,-3953.4803828312524,-975.1465801279273,0.2436736342293343,0.060091284681220464,126022.66142112984,4071.967336579057,0.17040086352967582
32,-90263.977007672,-2124.219522821372,-3953.4575170025505,-975.1409412508335,0.2286582870180798,0.056388770938271826,130094.6287533949,4071.943785718012,0.154650981209707
33,-94217.41302574285,-3099.3551622503396,-3953.436018070846,-975.1356394289681,0.2149893170410692,0.053018218653665024,134166.57253506078,4071.921642697021,0.14078400581589015
34,-98170.82879277035,-4074.485807569669,-3953.415767027501,-975.1306453193292,0.20251043345593142,0.04994109638913627,138238.49417394432,4071.900784943382,0.12852673533638026
35,-102124.22545105951,-5049.611740458459,-3953.396658289165,-975.1259328887901,0.19108738335538888,0.04712430539093296,142310.39495529243,4071.88110371167,0.11765219297873891
36,-106077.60404891614,-6024.733219418683,-3953.3785978566443,-975.1214789602237,0.18060432520649725,0.04453928566397006,146382.27605560885,4071.862502187487,0.10797075304999533
37,-110030.96555068479,-6999.850482249999,-3953.3615017686516,-975.117262831317,0.17096087992839204,0.04216128906601607,150454.13855458485,4071.8448938949196,0.09932316177593736
38,-113984.31084548158,-7974.9637482028475,-3953.3452947967844,-975.1132659528483,0.16206971866818398,0.03996878468663403,154525.98344543748,4071.828201352447,0.09157500969622334
39,-117937.64075482052,-8950.073219858725,-3953.3299093389364,-975.1094716558788,0.1538545784758105,0.03794296969628822,158597.8116439039,4071.81235493322,0.08461232460786067
40,-121890.9560392973,-9925.179084778123,-3953.3152844768088,-975.1058649193974,0.14624862127724772,0.036067364814541994,162669.62399609553,4071.7972918943497,0.07833803583113333
41,-125844.25740446713,-10900.281516949713,-3953.3013651698184,-975.1024321715901,0.13919306990835256,0.03432747807173391,166741.42128538218,4071.7829555466847,0.07266912067509665
42,-129797.54550603004,-11875.380678068905,-3953.2881015629173,-975.0991611191903,0.13263606901033242,0.032710523998391056,170813.2042384455,4071.7692945419053,0.06753428851475139
43,-133750.82095442,-12850.47671866929,-3953.275448389977,-975.0960406003862,0.12653172939668964,0.031205188040557462,174884.9735306196,4071.7562622580353,0.06287209115707514
44,-137704.0843188777,-13825.569779126869,-3953.263364457689,-975.0930604575798,0.12083932287947137,0.029801428064071697,178956.72979061765,4071.743816267897,0.05862937320904273
45,-141657.33613107528,-14800.659990553804,-3953.2518121975813,-975.0902114269376,0.11552260107788105,0.028490306421545097,183028.47360472608,4071.731917877709,0.054759995139707064
46,-145610.57688835118,-15775.747475596012,-3953.240757275895,-975.0874850422056,0.11054921686102002,0.02726384731987339,187100.20552053832,4071.7205317252833,0.05122377621436722
47,-149563.80705660395,-16750.832349146694,-3953.2301682527823,-975.0848735506831,0.10589023112468793,0.02611491522388787,191171.9260502861,4071.7096254290127,0.04798561560773358
48,-153517.02707288763,-17725.914718986292,-3953.2200162837007,-975.0823698396008,0.10151969081502207,0.025037110823655836,195243.63567382007,4071.699169280328,0.045014758606010105
49,-157470.23734774467,-18700.99468635772,-3953.2102748570333,-975.0799673714283,0.097414266675063,0.02402468172475357,199315.33484128278,4071.689135973458,0.042284181497650855
50,-161423.4382673076,-19676.072346484598,-3953.2009195629084,-975.0776601268756,0.09355294124567849,0.023072445527452343,203387.0239755114,4071.6795003673274,0.03977007398416829
51,-165376.63019519657,-20651.147789039136,-3953.191927888978,-975.0754425545387,0.08991673930823413,0.022175723368936317,207458.7034742024,4071.6702392752177,0.03745140205579462
52,-169329.8134742361,-21626.221098565442,-3953.1832790395483,-975.0733095263053,0.08648849429670645,0.02133028233305001,211530.37371186583,4071.6613312784816,0.035309537527734504
53,-173282.98842801113,-22601.292354863206,-3953.174953775019,-975.0712562977652,0.08325264529653865,0.020532285400658136,215602.0350415933,4071.6527565611764,0.03332794301482429
54,-177236.15536228014,-23576.361633336186,-3953.166934269005,-975.069278472982,0.08019506013707309,0.019778247832971597,219673.68779666108,4071.6444967629022,0.03149190318298772
55,-181189.31456626108,-24551.429005309266,-3953.159203980924,-975.0673719730759,0.0773028808135428,0.01906499905993173,223745.3322919849,4071.6365348475756,0.02978829476774215
56,-185142.4663138032,-25526.49453831741,-3953.151747542117,-975.0655330081466,0.07456438807460623,0.018389649293649276,227816.96882544478,4071.628854986141,0.02820538918013021
57,-189095.61086445706,-26501.558296369534,-3953.1445506538657,-975.0637580521256,0.0719688825069964,0.01774956020906191,231888.59767909202,4071.6214424515315,0.026732682595844187
58,-193048.74846445292,-27476.620340189747,-3953.1375999958796,-975.0620438202121,0.069506579859668,0.01714231913524444,235960.2191202508,4071.614283524415,0.02536074929644517
59,-197001.87934759693,-28451.68072743833,-3953.1308831440106,-975.0603872485837,0.06716851869154573,0.016565716285044867,240031.83340252636,4071.6073654084453,0.02408111474317493
60,-200955.0037360931,-29426.73951291445,-3953.1243884961395,-975.0587854761216,0.06494647871218198,0.016017724621027664,244103.44076672764,4071.600676153931,0.022886145445931278
61,-204908.12184129842,-30401.796748742374,-3953.118105205297,-975.0572358279202,0.06283290842342718,0.015496482014573324,248175.04144171393,4071.594204588948,0.021768953167964632
62,-208861.23386441762,-31376.852484542753,-3953.11202311921,-975.0557358003798,0.06082086087078217,0.015000275404427341,252246.63564517294,4071.5879402570777,0.020723311400587772
63,-212814.33999714316,-32351.906767590463,-3953.106132725561,-975.0542830477094,0.05890393648206209,0.014527526702644561,256318.22358433605,4071.5818733610313,0.019743582367714244
64,-216767.44042224553,-33326.95964296015,-3953.10042510235,-975.0528753696864,0.05707623211374897,0.014076780231066179,260389.80545663726,4071.5759947115166,0.01882465309000733
65,-220720.53531411834,-34302.011153660686,-3953.094891872796,-975.0515107005363,0.055332295546351204,0.01364669150128175,264461.38145032164,4071.5702956807936,0.017961879263024477
66,-224673.62483928262,-35277.0613407595,-3953.0895251643187,-975.0501870988186,0.05366708477283178,0.013236017176358614,268532.9517450064,4071.56476816043,0.01715103589115315
67,-228626.7091568538,-36252.110243497715,-3953.0843175711675,-975.0489027382113,0.052075931511679246,0.012843606074195218,272604.5165122005,4071.5594045228045,0.016388273776018737
68,-232579.78841897412,-37227.157899396814,-3953.0792621203227,-975.0476558991021,0.0505545084509252,0.01246839109077876,276676.0759157855,4071.554197585989,0.01567008108968943
69,-236532.86277121445,-38202.20434435772,-3953.074352240343,-975.0464449609083,0.049098799793382435,0.012109381937398363,280747.6301124608,4071.549140581668,0.014993249373821134
70,-240485.93235294733,-39177.24961275277,-3953.0695817328706,-975.0452683950483,0.047705074728269764,0.011765658599398083,284819.1792521579,4071.54422712578,0.014354843399387385
71,-244438.99729769386,-40152.293737511274,-3953.0649447465203,-975.0441247585047,0.046369863501598926,0.01143636543569304,288890.723478424,4071.5394511916356,0.013752174400765581
72,-248392.0577334468,-41127.336750199196,-3953.0604357529405,-975.04301268792,0.04508993579839314,0.011120705848304742,292962.2629287799,4071.5348070852547,0.013182776265050494
73,-252345.1137829716,-42102.37868109337,-3953.0560495248214,-975.041930894174,0.04386228118496288,0.010817937459839262,297033.79773505224,4071.5302894227166,0.012644384314511283
74,-256298.16556408728,-43077.41955925077,-3953.0517811156824,-975.0408781573997,0.04268409138989535,0.010527367744334422,301105.32802368404,4071.5258931093417,0.012134916368767557
75,-260251.21318992856,-44052.45941257316,-3953.0476258412596,-975.0398533223932,0.04155274422881671,0.010248350063411668,305176.8539160236,4071.5216133205254,0.011652455814755129
76,-264204.2567691909,-45027.498267867544,-3953.04357926236,-975.0388552943867,0.04046578900093121,0.00998028006532539,309248.37552859465,4071.517445484074,0.01119523644815783
77,-268157.29640635994,-46002.53615090269,-3953.0396371690395,-975.0378830351458,0.03942093320532737,0.009722592409429973,313319.8929733487,4071.5133852639105,0.01076162888046135
78,-272110.3322019259,-46977.57308646206,-3953.035795565995,-975.0369355593674,0.03841603044247793,0.009474757782883859,317391.4063579013,4071.5094285450305,0.01035012833204346
79,-276063.364252585,-47952.609098393405,-3953.032050659057,-975.0360119313494,0.0374490693816043,0.00923628018016843,321462.9157857531,4071.505571419588,0.0099593436542915
80,-280016.3926514277,-48927.644209655315,-3953.028398842688,-975.0351112619074,0.0365181636879229,0.009006694419290058,325534.42135649675,4071.501810174018,0.00958798744328829
81,-283969.41748811613,-49902.67844236083,-3953.0248366884066,-975.0342327055204,0.0356215428155024,0.008785563871421365,329605.9231660115,4071.498141277121,0.009234867124440962
82,-287922.4388490502,-50877.71181781851,-3953.0213609340485,-975.033375457682,0.03475754358174893,0.00857247838327425,333677.4213066455,4071.494561368992,0.008898876902089865
83,-291875.456817524,-51852.74435657096,-3953.0179684738036,-975.0325387524447,0.033924602448593764,0.00836705237373046,337748.91586738685,4071.4910672507676,0.008578990480813514
84,-295828.47147387295,-52827.776078431096,-3953.0146563489593,-975.0317218601358,0.033121248443442344,0.008168923088224004,341820.4069340249,4071.487655875089,0.008274254476193812
85,-299781.48289561225,-53802.80700251634,-3953.0114217392934,-975.0309240852362,0.03234609665999293,0.007977748996108026,345891.8945893018,4071.4843243372334,0.007983782442433947
86,-303734.49115756736,-54777.83714728074,-3953.008261955065,-975.0301447644044,0.03159784228526858,0.0077932083177758935,349963.37891305465,4071.4810698668725,0.007706749452612431
87,-307687.4963319969,-55752.86653054537,-3953.0051744295542,-975.0293832646375,0.030875255104727127,0.007614997669667749,354034.8599823506,4071.4778898203845,0.007442387174703878
88,-311640.498488709,-56727.89516952693,-3953.0021567121094,-975.028638981556,0.030177174442211838,0.007442830816501321,358106.3378716131,4071.474781673689,0.007189979392926092
89,-315593.49769517063,-57702.923080864726,-3952.99920646166,-975.0279113378039,0.029502504495855328,0.007276437521138357,362177.8126527413,4071.471743015574,0.006948857929605709
90,-319546.4940166113,-58677.95028064628,-3952.996321440656,-975.0271997815554,0.028850210034918024,0.007115562483451932,366249.28439522366,4071.468771541447,0.006718398927721536
91,-323499.4875161207,-59652.97678443139,-3952.9934995094136,-975.0265037851193,0.028219312425989334,0.006959964360409788,370320.7531662436,4071.4658650475158,0.006498019458621024
92,-327452.4782547416,-60628.002607275026,-3952.990738620818,-975.0258228436334,0.02760888596005229,0.006809414860346423,374392.21903078083,4071.4630214253284,0.0062871744232661265
93,-331405.46629155695,-61603.02776374887,-3952.9880368153727,-975.0251564738429,0.027018054454657162,0.006663697905073447,378463.682051707,4071.460238656678,0.006085353718737321
94,-335358.45168377354,-62578.05226796182,-3952.985392216562,-975.0245042129574,0.02644598810790392,0.006522608854082894,382535.1422898751,4071.4575148088243,0.005892079644718127
95,-339311.43448680005,-63553.07613357941,-3952.9828030265035,-975.0238656175788,0.02589190058312937,0.006385953785639625,386606.5998042057,4071.454848030016,0.0057069045273424835
96,-343264.4147543219,-64528.099373842095,-3952.980267521873,-975.0232402626958,0.02535504630516494,0.006253548830044757,390678.0546517673,4071.4522365452926,0.0055294085401133685
97,-347217.39253837196,-65503.12200158284,-3952.9777840500783,-975.0226277407406,0.02483471795079721,0.0061252195507874915,394749.50688785396,4071.4496786525474,0.0053591977037026495
98,-351170.36788939766,-66478.14402924353,-3952.975351025667,-975.0220276607037,0.024330244117651632,0.006000800369694433,398820.95656605717,4071.447172718821,0.005195902048272859
99,-355123.34085632465,-67453.16546889083,-3952.9729669269514,-975.0214396473003,0.023840987157147293,0.005880134032537348,402892.4037383358,4071.4447171768356,0.005039173923619342
100,-359076.3114866175,-68428.18633223102,-3952.9706302928353,-975.0208633401892,0.023366341158456694,0.005763071111877559,406963.8484550812,4071.442310521713,0.004888686443886493
101,-363029.2798263373,-69403.20663062426,-3952.9683397198282,-975.0202983932347,0.022905730071563442,0.005649469544210814,411035.2907651801,4071.4399513079115,0.0047441320549214
102,-366982.2459201965,-70378.22637509808,-3952.966093859232,-975.0197444738149,0.02245860595855679,0.005539194198734497,415106.7307160734,4071.4376381463217,0.004605221213491321
103,-370935.20981161104,-71353.24557636025,-3952.963891414496,-975.0192012621673,0.022024447363246755,0.005432116475291938,419178.16835381323,4071.435369701544,0.004471681168634715
104,-374888.17154274974,-72328.26424481101,-3952.961731138717,-975.0186684507744,0.021602757790037962,0.005328113929259321,423249.60372311604,4071.4331446893148,0.0043432548363443
105,-378841.131154582,-73303.2823905548,-3952.9596118322884,-975.0181457437822,0.021193064283773586,0.0052270699213313055,427321.0368674142,4071.4309618740826,0.004219699759619827
106,-382794.0886869227,-74278.30002341126,-3952.957532340678,-975.0176328564531,0.020794916102961875,0.005128873290334358,431392.46782890457,4071.4288200667224,0.004100787146668596
107,-386747.04417847504,-75253.31715292591,-3952.95549155233,-975.0171295146484,0.020407883479432846,0.00503341804735346,435463.8966485948,4071.4267181223718,0.003986300980712638
108,-390699.99766687176,-76228.33378838025,-3952.953488396684,-975.0166354543395,0.02003155645804971,0.004940603089600014,439535.3233663476,4071.424654938393,0.003876037195459778
109,-394652.94918871403,-77203.3499388014,-3952.951521842303,-975.0161504211462,0.019665543810624183,0.004850331932578239,443606.74802092323,4071.4226294524437,0.0037698029108362507
110,-398605.8987796091,-78178.36561297129,-3952.949590895101,-975.0156741699003,0.019309472018661074,0.004762512459224713,447678.1706500194,4071.4206406406515,0.003667415724074793
111,-402558.8464742058,-79153.38081943552,-3952.947694596669,-975.0152064642318,0.018962984319991816,0.004677056684802812,451749.5912903104,4071.4186875158894,0.0035687030516864874
112,-406511.7923062285,-80128.39556651171,-3952.9458320226877,-975.0147470761782,0.018625739814752126,0.004593880536431344,455821.00997748267,4071.4167691261437,0.003473501518241735
113,-410464.7363085099,-81103.40986229751,-3952.9440022814256,-975.0142957858136,0.018297412626518902,0.004512903646215417,459892.4267462714,4071.4148845529608,0.0033816563882537935
114,-414417.6785130222,-82078.42371467841,-3952.942204512314,-975.013852380898,0.017977691114751462,0.0044340491570289495,463963.84163049277,4071.4130329099885,0.0032930210377663327
115,-418370.6189509068,-83053.43713133497,-3952.9404378846,-975.013416656544,0.017666277134981735,0.004357243540072081,468035.254663077,4071.411213341581,0.0032074564625594612
116,-422323.55765250284,-84028.45011974986,-3952.9387015960656,-975.0129884149017,0.017362885343473584,0.004282416423394724,472106.6658760985,4071.409425021481,0.0031248308201368715
117,-426276.49464737467,-85003.46268721473,-3952.9369948718113,-975.0125674648586,0.017067242543322314,0.004209500430639295,476178.07530080527,4071.4076671515713,0.0030450190029093866
118,-430229.42996433773,-85978.47484083648,-3952.9353169631045,-975.0121536217557,0.016779087069195592,0.004138431029312507,480249.4829676476,4071.4059389606846,0.002967902240205085
119,-434182.36363148404,-86953.48658754361,-3952.9336671462834,-975.0117467071169,0.016498168208128144,0.004069146387948099,484320.8889063041,4071.4042397034746,0.002893367726930452
120,-438135.2956762058,-87928.49793409198,-3952.932044721718,-975.0113465483928,0.016224245653975497,0.004001587241569964,488392.29314570857,4071.4025686593473,0.0028213082768966035
121,-442088.2261252186,-88903.50888707071,-3952.930449012819,-975.0109529787163,0.015957088993309932,0.003935696764909044,492463.69571407384,4071.4009251314405,0.002751621998977686
122,-446041.1550045837,-89878.51945290738,-3952.928879365097,-975.0105658366709,0.015696477220704417,0.0038714204528673894,496535.096638916,4071.3993084456533,0.002684211994427112
123,-449994.082339729,-90853.52963787345,-3952.9273351452684,-975.0101849660701,0.015442198281500166,0.0038087060077598004,500606.4959470771,4071.397717949727,0.0026189860738078112
124,-453947.0081554694,-91828.5394480892,-3952.9258157404042,-975.0098102157469,0.015194048640291254,0.0037475032328974016,504677.8936647468,4071.396153012365,0.0025558564921170468
125,-457899.93247602653,-92803.54888952855,-3952.924320557117,-975.0094414393537,0.014951832873486266,0.003687763932108734,508749.28981748363,4071.394613022401,0.0024947397008034224
